source,rating,mean_sentiment_score,sentiment_distribution
BoA Mobile,1,-0.15965121951219513,"{'negative': 0.4817073170731707, 'neutral': 0.2926829268292683, 'positive': 0.22560975609756098}"
BoA Mobile,2,0.1328909090909091,"{'neutral': 0.45454545454545453, 'positive': 0.36363636363636365, 'negative': 0.18181818181818182}"
BoA Mobile,3,0.19251612903225807,"{'positive': 0.5483870967741935, 'neutral': 0.3548387096774194, 'negative': 0.0967741935483871}"
BoA Mobile,4,0.3330166666666667,"{'positive': 0.6111111111111112, 'neutral': 0.3888888888888889}"
BoA Mobile,5,0.3481096590909091,"{'positive': 0.6818181818181818, 'neutral': 0.30113636363636365, 'negative': 0.017045454545454544}"
Commercial Bank of Ethiopia,1,-0.006487500000000003,"{'negative': 0.3541666666666667, 'positive': 0.3333333333333333, 'neutral': 0.3125}"
Commercial Bank of Ethiopia,2,0.053775,"{'positive': 0.4375, 'negative': 0.3125, 'neutral': 0.25}"
Commercial Bank of Ethiopia,3,0.16584761904761905,"{'neutral': 0.6190476190476191, 'positive': 0.3333333333333333, 'negative': 0.047619047619047616}"
Commercial Bank of Ethiopia,4,0.3314,"{'positive': 0.6052631578947368, 'neutral': 0.34210526315789475, 'negative': 0.05263157894736842}"
Commercial Bank of Ethiopia,5,0.4260693140794224,"{'positive': 0.8050541516245487, 'neutral': 0.18772563176895307, 'negative': 0.007220216606498195}"
Dashen Bank,1,-0.03829393939393939,"{'negative': 0.42424242424242425, 'positive': 0.3333333333333333, 'neutral': 0.24242424242424243}"
Dashen Bank,2,-0.05552941176470588,"{'negative': 0.35294117647058826, 'neutral': 0.35294117647058826, 'positive': 0.29411764705882354}"
Dashen Bank,3,0.331625,"{'positive': 0.6666666666666666, 'neutral': 0.3333333333333333}"
Dashen Bank,4,0.3021304347826087,"{'positive': 0.6086956521739131, 'neutral': 0.30434782608695654, 'negative': 0.08695652173913043}"
Dashen Bank,5,0.5455063492063492,"{'positive': 0.8285714285714286, 'neutral': 0.1619047619047619, 'negative': 0.009523809523809525}"
