review_id,review,cleaned_review,keywords,theme
1,really am happy to this app it is Siple to use everything,happy app siple use,"['happy', 'use', 'app']",['Other']
2,I liked this app. But the User interface is very basic and not attractive at all.,like app user interface basic attractive,"['basic', 'attractive', 'interface', 'user', 'like', 'app']",['Other']
3,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",don atms support account account transfer like country kenya nigeria south africa,"['account', 'kenya', 'nigeria', 'country', 'support', 'don', 'transfer', 'like']","['Customer Support', 'Other']"
4,what is this app problem???,app problem,"['problem', 'app']",['Other']
5,the app is proactive and a good connections.,app proactive good connection,"['proactive', 'connection', 'good', 'app']",['Other']
6,I cannot send to cbebirr app. through this app.,send cbebirr app app,"['cbebirr', 'send', 'app']",['Other']
7,good,good,['good'],['Other']
8,not functional,functional,['functional'],['Other']
9,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",everytime uninstall app reach physically oldy security layer check fraud attempt app source directly source app store play store etc implicitly physical presence app install traditional traditionally rare,"['source', 'store', 'app', 'presence', 'layer', 'oldy', 'install', 'implicitly', 'physical', 'traditional']",['Other']
10,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,space,[],[]
11,best,well,[],[]
12,bezabih,bezabih,[],[]
13,Best Mobile Banking app ever,good mobile banking app,"['mobile', 'banking', 'good', 'app']",['Other']
14,good,good,['good'],['Other']
15,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,good app issue like right bank issue transfer,"['issue', 'right', 'transfer', 'like', 'bank', 'good', 'app']",['Other']
16,good,good,['good'],['Other']
17,Good,good,['good'],['Other']
18,👌👍,,[],[]
